occupation_id,occupation_name,major_group_code,major_group_name,latent_gender_signal,mean_male_similarity,mean_female_similarity,association_difference,similarity_standard_deviation,scweat_effect_size,association_direction,p_value,exact_partition_count,test_sidedness,adjusted_p_value,significant_raw,significant_fdr
101,direktur utama,1,Manajer,0.13309859154929576,0.09796607453435574,-0.06678861121254846,0.16475468574690422,0.09509753171119079,1.732481198852361,positif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
102,manajer operasional,1,Manajer,-0.43732394366197186,-0.23676046131477313,0.27322865864543766,-0.5099891199602108,0.2660656093355895,-1.9167795538616934,negatif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
103,manajer keuangan,1,Manajer,0.43732394366197186,0.2794319274629603,-0.23458058131416243,0.5140125087771228,0.26894505379701106,1.9112175573419499,positif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
104,manajer pemasaran,1,Manajer,-0.36126760563380284,-0.1926921909588179,0.24071061324351772,-0.4334028042023356,0.22832097118150504,-1.8982172419799301,negatif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
105,kepala cabang,1,Manajer,0.38661971830985914,0.24962289993506687,-0.21174414982010253,0.4613670497551694,0.24127200048103556,1.9122278956336407,positif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
106,supervisor produksi,1,Manajer,-0.45,-0.24478546837085788,0.2876767837039155,-0.5324622520747734,0.2773338686103554,-1.9199322994439767,negatif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
107,koordinator proyek,1,Manajer,-0.031690140845070436,-0.0016763572848833477,0.042528434963295156,-0.044204792248178505,0.05032254431102254,-0.8784291981535597,negatif,0.07832167832167833,12870,two-sided,0.08172696868349043,False,False
108,manajer sumber daya manusia,1,Manajer,0.36126760563380284,0.23608443167954346,-0.20147865578141871,0.4375630874609622,0.22917427901294068,1.909302777543611,positif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
201,dokter,2,Profesional,0.006338028169014076,0.022114944891927394,0.014824305973639587,0.007290638918287807,0.04732496876748842,0.15405480675766176,positif,0.7387723387723387,12870,two-sided,0.7387723387723387,False,False
202,perawat,2,Profesional,0.09507042253521131,0.08069235927575912,-0.04166015630771002,0.12235251558346913,0.0784291137049212,1.5600395032360523,positif,0.0006216006216006216,12870,two-sided,0.0007104007104007104,True,True
203,guru,2,Profesional,0.19647887323943664,0.1565001404977327,-0.09233424676784305,0.24883438726557575,0.1354530375989454,1.8370528389502365,positif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
204,dosen,2,Profesional,0.27253521126760566,0.19624537052838703,-0.14734176792355239,0.34358713845193944,0.1836610649699091,1.870767429712076,positif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
205,akuntan,2,Profesional,-0.2725352112676056,-0.14892359077206146,0.1877814254853808,-0.33670501625744226,0.17926335744437144,-1.8782701666286024,negatif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
206,pengacara,2,Profesional,0.12042253521126761,0.09581383181566461,-0.05743532753978022,0.15324915935544484,0.08995332244432601,1.7036520185265414,positif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
207,psikolog,2,Profesional,0.373943661971831,0.2527667588799986,-0.20476144623471815,0.45752820511471676,0.24021236932283976,1.9046821210934797,positif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
208,arsitek,2,Profesional,-0.3232394366197183,-0.1733050621178609,0.23692012538225848,-0.4102251875001194,0.21632279274321023,-1.8963567467764915,negatif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
301,teknisi listrik,3,Teknisi dan asisten profesional,0.2091549295774648,0.11543668043303684,-0.15486061353012404,0.2702972939631609,0.14293896853951144,1.8909979323689106,positif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
302,teknisi jaringan,3,Teknisi dan asisten profesional,-0.15845070422535212,-0.11776741449938101,0.08660103760449026,-0.20436845210387128,0.11104591663019775,-1.84039592184604,negatif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
303,analis sistem,3,Teknisi dan asisten profesional,0.41197183098591555,0.22338325403733797,-0.2615704780170594,0.4849537320543974,0.25222176481211817,1.9227275346980581,positif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
304,analis data,3,Teknisi dan asisten profesional,-0.14577464788732392,-0.10646273579880323,0.07878719045353254,-0.18524992625233577,0.10141967589687545,-1.8265679180507317,negatif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
305,pengembang perangkat lunak,3,Teknisi dan asisten profesional,-0.18380281690140843,-0.14445140464697218,0.0960880998939238,-0.24053950454089598,0.12824413451030686,-1.8756374742547313,negatif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
306,teknolog laboratorium,3,Teknisi dan asisten profesional,0.2852112676056338,0.15757401040989183,-0.19598532059910645,0.3535593310089983,0.18571695689960696,1.9037536308551615,positif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
307,radiografer,3,Teknisi dan asisten profesional,-0.25985915492957745,-0.18279662754438222,0.15156043403344593,-0.3343570615778282,0.1749365640127778,-1.9113046118443593,negatif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
308,asisten apoteker,3,Teknisi dan asisten profesional,0.10774647887323946,0.04659319195631622,-0.0863591470067212,0.13295233896303743,0.0760045511352365,1.7492681290423322,positif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
401,sekretaris,4,Tenaga tata usaha,-0.2091549295774648,-0.1309809333792469,0.1329138093621665,-0.26389474274141345,0.1402197424191211,-1.882008468911774,negatif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
402,staf administrasi,4,Tenaga tata usaha,-0.23450704225352112,-0.14130783912539097,0.1534835080675894,-0.2947913471929804,0.1567413842299908,-1.8807499285601896,negatif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
403,petugas arsip,4,Tenaga tata usaha,-0.17112676056338028,-0.10248008914306309,0.1113711674692516,-0.2138512566123147,0.11639617588052505,-1.8372704686777896,negatif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
404,operator komputer,4,Tenaga tata usaha,0.019014084507042284,0.011406973452021414,-0.01355290196000907,0.024959875412030486,0.03310824452605821,0.7538870081856964,positif,0.13597513597513597,12870,two-sided,0.13986013986013984,False,False
405,resepsionis kantor,4,Tenaga tata usaha,-0.0823943661971831,-0.049334825421931155,0.05792636774755552,-0.10726119316948668,0.0671868602963772,-1.5964608659540285,negatif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
406,staf keuangan,4,Tenaga tata usaha,0.031690140845070436,0.02996534807520925,-0.012569871028285714,0.04253521910349496,0.039452083717455774,1.078148860478947,positif,0.026573426573426574,12870,two-sided,0.028136569313039903,True,True
407,petugas entri data,4,Tenaga tata usaha,-0.31056338028169017,-0.18768181490616076,0.19579318343563232,-0.3834749983417931,0.20105006225200453,-1.9073607540649729,negatif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
408,sekretaris medis,4,Tenaga tata usaha,-0.22183098591549297,-0.13417172471059988,0.14223425496773934,-0.27640597967833924,0.145791968206685,-1.8958930528085511,negatif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
501,kasir,5,Tenaga usaha jasa dan penjualan,0.3485915492957747,0.20292618306949162,-0.21476578916996847,0.4176919722394601,0.21709742436796445,1.9239840060539013,positif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
502,pramusaji,5,Tenaga usaha jasa dan penjualan,-0.04436619718309859,-0.030977246275827937,0.024247681942405626,-0.05522492821823356,0.04063269939929589,-1.359125262034413,negatif,0.0037296037296037296,12870,two-sided,0.004131253362022593,True,True
503,barista,5,Tenaga usaha jasa dan penjualan,0.29788732394366196,0.1862810567435529,-0.19326572658502977,0.37954678332858266,0.19832237008515705,1.9137870486602706,positif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
504,penata rambut,5,Tenaga usaha jasa dan penjualan,0.4246478873239437,0.25175023309250444,-0.2742186505006521,0.5259688835931565,0.2724420112242707,1.9305718718989555,positif,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
505,agen perjalanan,5,Tenaga usaha jasa dan penjualan,0.04436619718309859,0.025688255294121685,-0.033581517971718634,0.05926977326584032,0.03577456978519616,1.6567571216570351,positif,0.0003108003108003108,12870,two-sided,0.00036684626848561275,True,True
