occupation_id,occupation_name,major_group_code,major_group_name,mean_male_similarity,mean_female_similarity,association_difference,scweat_effect_size,association_direction,p_value,n_permutations,random_seed,adjusted_p_value,significant_raw,significant_fdr
101,direktur utama,1,Manajer,-0.049654658643924376,0.0777329290022267,-0.12738758764615107,-1.6480019755652497,negatif,0.0004997501249375312,2000,42,0.007196401799100449,True,True
102,manajer operasional,1,Manajer,0.01253322301782376,-0.026722878630011757,0.039256101647835516,0.7525009247553367,positif,0.1454272863568216,2000,43,0.2703263752739015,False,False
103,manajer keuangan,1,Manajer,-0.005318089113610885,-0.01203244472960957,0.006714355615998685,0.20035725868067825,positif,0.711144427786107,2000,44,0.7642149074716373,False,False
104,manajer pemasaran,1,Manajer,0.020203028769454786,-0.015912736173749883,0.03611576494320467,0.6185214675672613,positif,0.223888055972014,2000,45,0.3582208895552224,False,False
105,kepala cabang,1,Manajer,0.0011746789089927129,0.05582552932381499,-0.054650850414822275,-0.8771095180149706,negatif,0.07846076961519241,2000,46,0.19310344827586207,False,False
106,supervisor produksi,1,Manajer,0.007472358478194634,0.05887101445251338,-0.051398655974318745,-0.9547069257502652,negatif,0.05347326336831584,2000,47,0.1425953689821756,False,False
107,koordinator proyek,1,Manajer,-0.020420522061475366,-0.0002838889714174078,-0.02013663309005796,-0.49390962263039007,negatif,0.3308345827086457,2000,48,0.4712937648822647,False,False
108,manajer sumber daya manusia,1,Manajer,0.012198044767503427,0.012014901691067198,0.00018314307643622907,0.004381053047692867,positif,0.9930034982508745,2000,49,0.9930034982508745,False,False
201,dokter,2,Profesional,-0.01812167186138088,0.0060252969728006416,-0.02414696883418152,-0.3779552031764178,negatif,0.463768115942029,2000,50,0.5962732919254659,False,False
202,perawat,2,Profesional,-0.011273992642989148,-0.003627530891292743,-0.007646461751696405,-0.1513295729368613,negatif,0.7706146926536732,2000,51,0.8159449686921246,False,False
203,guru,2,Profesional,-0.019810389058255336,-0.06260249096038217,0.04279210190212684,0.7451749481832375,positif,0.12093953023488256,2000,52,0.24187906046976512,False,False
204,dosen,2,Profesional,0.006192625626783462,0.043929864369000406,-0.03773723874221695,-0.6785727847909447,negatif,0.1839080459770115,2000,53,0.3079390537289495,False,False
205,akuntan,2,Profesional,-0.022133091621113654,0.0030423219492937414,-0.025175413570407396,-0.4489722967870684,negatif,0.3988005997001499,2000,54,0.530571078097315,False,False
206,pengacara,2,Profesional,0.0015362467897738928,0.050599598744762726,-0.049063351954988836,-0.8332408509097108,negatif,0.09295352323838081,2000,55,0.20914542728635685,False,False
207,psikolog,2,Profesional,-0.013699985954604688,0.038477790689776435,-0.05217777664438113,-0.7358303788510661,negatif,0.1519240379810095,2000,56,0.2734632683658171,False,False
208,arsitek,2,Profesional,-0.02998220338944367,-0.08240502956155923,0.052422826172115564,1.0858770672977753,positif,0.02148925537231384,2000,57,0.0736774469907903,True,False
301,teknisi listrik,3,Teknisi dan asisten profesional,-0.0917389859073004,0.024565252160489246,-0.11630423806778964,-1.5410908603112574,negatif,0.0004997501249375312,2000,58,0.007196401799100449,True,True
302,teknisi jaringan,3,Teknisi dan asisten profesional,-0.04550790727397806,-0.003274828546775744,-0.04223307872720232,-0.7857041665735301,negatif,0.12643678160919541,2000,59,0.2460391425908668,False,False
303,analis sistem,3,Teknisi dan asisten profesional,-0.014678223115630181,0.027436044445366098,-0.04211426756099628,-0.8054327890512473,negatif,0.10944527736131934,2000,60,0.2313129149710859,False,False
304,analis data,3,Teknisi dan asisten profesional,-0.048643482304144996,0.020663504062228312,-0.06930698636637331,-0.9852135261705186,negatif,0.047976011994003,2000,61,0.13285664859877752,True,False
305,pengembang perangkat lunak,3,Teknisi dan asisten profesional,-0.059377979668660846,0.02530916356313566,-0.0846871432317965,-1.10030527045343,negatif,0.01899050474762619,2000,62,0.06836581709145427,True,False
306,teknolog laboratorium,3,Teknisi dan asisten profesional,-0.013041137282948596,0.0013294288317109658,-0.014370566114659563,-0.33604426512804936,negatif,0.5212393803098451,2000,63,0.6360887352933703,False,False
